label,value,cnt
Batareya / adapter,65 W adapter,10
Min. ekran,"10.2 cm (4"")",1
Çəki / ölçülər,Starting at 1.27 kq (2.80 lbs) | 311.8 x 212.3 x 6.7 - 17.18 mm,1
Tip,M.2 NVMe SSD,8
Part number,63D2GAT1EU,1
Tip,12-port Web Managed Switch,1
Mount dimensions,9x480x523 mm,1
Ekran,"16"" FHD+ Touch",1
Yaddaş,512 GB SSD (M.2 PCIe NVMe),3
CPU,"Intel Xeon E-2334 4C/8T 3.4 GHz, burst 4.8 GHz, AES-NI",1
Volume,0.0086 m³,1
Səth,Cloth,2
Açıq dövrə gərginliyi (Voc),"24,4 V",1
OS,QTS,1
Rəng,Slate boz,1
Model,W709,1
İnterfeys,"USB 3.1 Gen 2 (USB 10Gbps), USB Type-C, UASP",2
Ekran,"14"", WUXGA 1920x1200, IPS, 400 nits, 60 Hz, Non-Touch, Anti-glare, 45%NTSC",2
Batareya tipi,Lead-acid (VRLA),1
Rank,2Rx8,6
OEM kod,CF541A,1
DPI,2400 DPI,1
Tip,10-in-1 USB-C dok / hub,1
Form faktor,"2U rack, 88.6 × 482 × 550 mm (rels dəstəyində deyil; RAIL-B02)",2
Part number,53N94C,1
Tip,Rəngli lazer MFP,12
Montaj,Desktop / wall-mount,4
Form faktor,"1U rack, 43.3 × 430 × 479 mm",2
PoE,125 W PoE+,1
Sürət,2.4 GHz 575 Mbps + 5 GHz 1200 Mbps = AX1800,2
Ölçü,182.4 × 182.4 × 54 mm,1
Maksimal Güc,45 W Max,1
Frequency characteristic,50 - 17000 Hz,1
Management port,1 × 1GbE RJ45,1
Çəki,~270 q,4
Saxlama temperaturu,−40 – 85 °C,4
Random 4K,1000K / 1000K IOPS,1
Brend,HP,1
Çəki,435 q,1
CPU,"ARM Cortex-A55 4-core 2.0 GHz, Mali-G52, NPU",3
Dimensions ( HxWxD ),1070x122x630 mm,1
Tip,Maqnit simsiz powerbank,3
Ölçü (E×D×H),210 × 210 × 33.2 mm,3
Tip,"Direct Attach Copper (Twinax, passive)",4
Part number,4R009AA,1
Part number,21U20035FW,1
En,68 mm,3
LAN,3 × GbE,1
Rəng,Bənövşəyi / Paslanmayan polad,1
Part number,B69FLET,1
Operating principle,Contact,1
Vəziyyəti,"İşlənmiş (Test edilmiş, əla vəziyyətdə)",2
Volume,0.0004 m³,5
İdarəetmə,HPE iLO 6 / Compute Ops Management (opsional),1
Mikrofon,HyperClear Super Wideband,2
Ölçülər,560 × 540 × 417 mm,1
Ölçülər,150 φ18,2
Volume,0.0226 m³,1
Retail P/N,AP512GAS2280Q4U-1,1
Əməliyyat sistemi,Windows 11 Pro (RU),6
Part number,5E8M0EA,1
SSID,16-ya qədər (background scan açıqdırsa 14),1
Model,14207-70,1
CPU,Annapurna Labs Alpine AL324 64-bit ARM Cortex-A57 4-core 1.7 GHz,1
Model,CP-7942 q (Hardware V03),1
Çəki,təxm. 5.03 kq (Icecat); Dell SFF 4.43–5.25 kq diapazonu,1
Ekran,"Monoxrom LED, 21 × 12 diod (saat və emosiyalar)",3
Kapasitet,"230,4 Wh (9 Ah)",1
"19"" rels","4 ədəd, 1.5 mm, 1U nömrələnmiş",1
Wi-Fi,Bəli,4
Simsiz əlaqə,Daxili Wi-Fi (802.11b/g) və Bluetooth 2.0 (qulaqlıq və mobil telefon inteqrasiyası),1
THD,≤ 2% linear load / ≤ 5% non-linear load,2
Ölçülər (stend ilə),552.64 × 171 × 420.35 mm,1
Model,Dell P2725H,1
Qidalanma,802.3af/at PoE,1
Şəbəkə,2 × 10GbE SFP+ + 2 × 2.5GbE RJ45,2
Fans (Optional),Side panel: 1 x 120 mm / Back panel: 1x 80,2
Tutum,32 TB,1
Switch,mexaniki (10 mln),2
MIMO,MU-MIMO 2×2 + 2×2 (4 stream),3
Portlar,48 × RJ-45 10/100/1000 Class 4 PoE,1
Görüntü imkanı,2560 × 1440 @ 120 Hz,2
Yuvalar,"6 × 3.5""/2.5"" SATA 6Gb/s, hot-swap",4
Simsiz,Wi-Fi 6 + Bluetooth,1
Ölçülər,346.3 × 189.3 × 158.9 mm,1
Doldurulan,Bəli,1
PoE dəstəyi,IEEE 802.3af PoE (Class 2),1
Part number,SRV3KRILRK-E,1
Model,YNDX-00053TRQ,1
Tip,"19"" divar tipi şəbəkə şkafı (yığılı)",2
Çıxış qabı,600 Vərəq,1
Qeyd,DMO region P/N (NA/XE ekvivalent 006R04401),1
Part number,AP1920GBB100PM2P,1
Simsiz,Intel Wi-Fi 6 AX201 2×2 (802.11ax) + Bluetooth; Gigabit RJ-45,1
Model,GWN7816P,1
Bağlantı,Bluetooth + USB-C simli audio (3.5 mm yoxdur),2
Part number,CF410A,1
Model,AV116,2
Bağlantı,HyperSpeed Gen-2 2.4 GHz + BT 5.3 + USB-A + 3.5 mm,2
Part number,21SSS79F00,1
Part number,21UR008FFW,1
Part number,TS512GESD310C,1
İdarəetmə,RUCKUS Cloud · SmartZone · ZoneDirector · Standalone,1
Ölçülər,"482 × 42.8 × ~535 mm (bezel ilə, 4×3.5"")",3
Part number,4R016AA,1
Part number,2E-MM011,1
Portlar,1x USB-C 3.2 Gen 1 (DP 1.4 Alt Mode; 1x USB-C 3.2 Gen 1 (DP 1.4 Alt Mode); 4x USB 3.2 Gen 1 (1x BC 1.2); 1x HDMI; 1x DP,1
Rəng,Garnet red (qranat qırmızı),1
Auto-framing,bəli (AI),1
Batareya,1× AA (36 ayadək),1
Disk yuvaları,"Maks. 8 × 3.5"" və ya 16 × 2.5"" SAS/SATA",2
Model,DTSB5312L-CD20,1
Portlar,48 × 10/100/1000BASE-T PoE+,2
Ölçülər,7.78 × 13.15 × 4.15 cm,2
Sürətli şarj texnologiyası,"Power Delivery 3.0, Quick Charge 3.0",1
Düymələr,3,3
Güc,80 W,2
Ölçü (E×D×H),330 × 229 × 44 mm,1
Model,Dell 8TB Hard Drive SAS 12Gbps 7.2K 512e 3.5in Hot-Plug,1
Audio,2× 20 W dinamik,3
M.2,2 × M.2 2280 PCIe Gen3 x1 NVMe,8
Düymə,7,3
CAS Gecikməsi,CL9 (09-10-B0),1
Model,16GB 2Rx4 PC4-2133P-RA0-10-MB1 (M393A2G40DB0-CPB),1
İnterfeys,PCIe 5.0 NVMe x4,3
Güc,600 VA / 360 W,1
Tip,5-xətli rəngli ekranlı multimediya IP telefonu,1
Volume,0.0091 m³,1
Davamlı ötürmə,"268 MiB/s (davamlı, tip.)",1
Volume,0.0033 m³,2
Seriya,Yandex Stansiya 2,3
Dinamik,2 LF 46 × 80 mm + 3 genişzolaqlı 32 mm + 2 passiv radiator 62 × 100 mm,3
Rozetkalar,"8 ədəd (6 batareya backup + surge, 2 yalnız surge) — Schuko",2
İnterfeys,"PCIe Gen4 x4, NVMe 1.4",8
Part number,S0G33A,1
Ölçülər,30 × 30 × 33 mm,1
Model,Dell Pro 14 Plus PB14250,1
Şəbəkə portları,2 × 10/100BASE-TX Fast Ethernet RJ-45 portu (Switch),1
Giriş diapazonu,176–288 VAC (100–176 VAC derating ilə),1
İdarəetmə,EnGenius Cloud,1
Tip,Fortinet 10GE SFP+ LR transceiver,1
OS,Ubuntu,21
Model,CD361,3
Forma faktoru,240-pin RDIMM,3
Portlar,"2× USB-A 10Gbps, 1× USB-C 10Gbps, HDMI 2.0, DisplayPort, RJ45 Gigabit",1
Model,HP LaserJet M442dn MFP,1
Signal to noise ratio,70 dB,1
Çəki,53 q (without battery),2
Təyinat,Otaq temperaturu və rütubətinin ölçülməsi,1
Part number,2E-MF300WPETSBL,1
Qidalanma,"100–240 VAC, 50/60 Hz",2
Model,MU006,1
Part number,2E-B2425B-01.EU,1
Uyğunluq,"ProLiant DL325 Gen10+, ProLiant DL385 Gen10+",3
WLAN,"Band steering, Mesh, 802.11r/k/v, DCS",1
Model,GWN7664,1
Şarj keysi,Bəli,1
Gərginlik,1.45 V,1
Part number,2Emagslim,1
Ölçülər,440 × 310 × 140 mm,1
Kabel,"1.5 m, 3×1.5 mm² H05VV-F",2
Ölçülər,86.6 × 85 × 117.7 mm,1
Ölçü,67.2 × 119.7 × 39.8 mm,1
Wi-Fi,IEEE 802.11a/b/g/n/ac/ax · Dual-band concurrent (2.4 / 5 GHz),1
Model,GRP2604P,1
Part number,SDCS2/64GB,1
Baza tezlik,2.10 GHz,1
Tutum,512GB,2
Maks. güc,36 W,1
Portlar,"HDMI ×2, DP, USB-A (3.0/3.2), USB-C data, Gigabit RJ45, SD/TF, 3.5 mm",1
Part number,TS-873A-8 q,1
Material,"PU foam,Polyester",1
Qohum SKU,R4G20A (eyni adapter ailəsi),1
TBW,700 TBW (TPU S95 1 TB review),1
Sensor,Liebert SN one-wire (temp/rütubət/sızma/qapı),1
Model,YNDX-00027TRQ,1
Data sürəti,5120 Mbit/s,1
Seriya,Razer Firefly V2 Pro,3
Qrafika,Intel Arc graphics,1
Kontrast,"1,500,000:1",7
DPI,30 000,2
Ekran ölçüsü,"31.62""",1
Şəbəkə,RJ45 2.5GbE,2
Part number,UPS403HH330N035,1
Barkod,680051628462,1
IP,IP68 (tozkeçirməz; 1 m / 60 dəq su),4
Zəmanət,5 il (5Y),1
Batareya tutumu,2200 mA·h,2
Çəki,650 q,3
Qidalanma,5 V ±5%,3
Maks. skan ölçüsü,89 x 148 mm,1
Type,Portable speaker,8
Microphone Type,omnidirectional,1
SNR,90 dB,3
Standart,DDR4,5
Material,"Aluminium, Silicone",3
Tutum,"100 daxili nömrə, 15 VoIP trunk, call center/hotel lisenziyası dəstəyi",1
Part Number,75X29AA,1
EAN,4549821420001,1
Part number,400-BIFW,1
PoE dəstəyi,IEEE 802.3af PoE (Class 3),1
Qida,2 × 550 W redundant PSU,4
Model,US221,1
Color keys,black,2
Batareya,1350 mAh × 2; hər batareya ~90 dəq. Sport Combo-da 2 batareya + şarj qutusu,1
Empedans,60 Ω,1
Protokollar,"SIP RFC3261, TCP/IP/UDP, RTP/RTCP, HTTP/HTTPS, ARP/RARP, ICMP, DNS, DHCP, PPPoE, TFTP, NTP, STUN, TR-069",1
Form faktor,Indoor · UL 2043 Plenum rated · drop ceiling bracket daxil,1
Ekran tipi,TFT,2
İnterfeys,Ethernet,8
Tam ad,HPE Intel Xeon Gold 6334,1
Ekran ölçüsü,"34""",2
Prosessor,"Intel Core Ultra 9 285K (24 nüvə / 24 axın, 3.7–5.7 GHz, 36 MB keş, 125 W)",1
Aylıq yük,300000 səh/ay,1
TBW,750 TB,2
Radio / sürət,"2×2:2 MU-MIMO — 574 Mbps (2.4 GHz) + 2 400 Mbps (5 GHz, 160 MHz)",1
Prosessor,"12-ci nəsil Intel Core i5-12400 — 6 nüvə / 12 axın, 18 MB, 65 Vt, 2.50–4.40 GHz",1
EAN,190017312491,1
Daxili yaddaş,128 GB SSD,2
Gərginlik,12 V,4
Part number,ad256GBMSXU32A,1
Dimensions ( HxWxD ),440x418x20 mm,1
Part number,7212324T-7050000-000-RS,1
Görüntü imkanı,2560 × 1440 @ 144 Hz,2
Prosessor,Intel Core 7 240H | 24MB cache,3
Xətt sayı,"2 proqramlaşdırılan xətt və ya funksiya düyməsi, 4 dinamik soft-düymə",1
Additional information,Energy efficiency class A+,1
DPI,18 000,2
Audio,İkitərəfli səs (mikrofon və güclü daxili siren),1
Rəng,Rəngli,22
Dərinlik,118.7 mm,4
Şifrələmə,"256-bit AES-XTS, TCG Opal 2.0",1
İdarəetmə,Asset-manageable (inventar idarəetmə dəstəyi),1
Təyinat,"Smartfon, planşet, action kamera, 4K video",1
PoE,"240 W, IEEE 802.3af/at, port 1–24",1
Part number,SEDC600 m/480 q,1
Növ,Low-profile PCIe riser dəsti,1
Simsiz məsafə,10 m,4
Uyğunluq,"PC, PS5, Xbox Series X|S. Software Compatibility: NGENUITY",1
Part number,2E-SPEED-XL-D08-PRO,1
Montaj,Tavan və divar montaj dəsti daxildir,1
Max. enerji,31.46 W,1
Types of connectors,HDMI 1.4 / RJ-45 / 2 x USB-A 2.0 / USB-C PD / USB-A 3.0,1
Tip,Wi-Fi 6 AX1800 Çöl Şəraiti üçün Dairəvi (Omnidirectional) Outdoor Access Point,1
Part number,8AF72A,1
Aylıq yük,3000 səh/ay,4
Funksiyalar,Skan,2
USB PD (maks.),45 W,1
Məsafə,20 m,4
Portlar,"1 × HDMI 2.0, 2 × DisplayPort 1.4 (MST), USB-C, USB hub, audio out",1
Uyğunluq,"16""-dək (max 400 × 270 × 25 mm)",1
En,112 mm,1
Zəmanət,1 il Basic Onsite,2
Bağlantı,Wi-Fi və ya Ethernet (RJ-45) kabel bağlantısı,1
Ekran,"Monoxrom LED (saat, animasiya, Alisa emosiyaları)",5
Model,L512,1
Tətbiq,softphone / UC,1
RAM,8 GB (1×8 GB),1
Port 3 qücü,22.5 W,2
Part number,345-BEBH,1
DPI,1000,2
Ölçülər,79 × 38 × 26 mm,1
Erqonomik,Bəli,1
İş yükü,180 TB/il; 8760 saat; 64 HD kamera; 8 yuvaya qədər,1
Çıxış,2 × IEC C13 + 1 × IEC C19 + Hard wire 3-wire (H+N+E),2
Switch,Optical Mouse Switches Gen-4,2
Matris tipi,"IPS (3 tərəfdən çərçivəsiz dizayn, Frameless)",1
Çəki,58 q,1
Tip,SNMP/Web kart (Golden Finger slot),1
Part number,AP256GAS725B-1,1
Seriya,Razer BlackWidow V4 Pro 75%,1
Rəng,Gümüşü,8
Adapter,"3/8"" → 1/4"" və 3/8"" → 5/8""",1
Şəbəkə,2 × 10GBASE-T + 2 × 2.5GbE,4
Ekran,"27"", FHD 1920x1080, IPS, 300 nits, Anti-glare, 99% sRGB",2
Çəki,290 q,1
SNR,100 dB,1
Model,SPA525 q (Hardware V03),1
Rəng,"100% sRGB / 98% DCI-P3, Delta E < 2",2
Ekran,"14.0"" FHD+ (1920×1200)",3
Part number,21VV003YFW,1
Zəmanət,3 il Premium Panel Exchange,1
Model,OPS PC i5 11th Gen,1
Sürət (512 GB),"oxuma 1050 MB/s, yazma 900 MB/s (maks.)",1
Parlaqlıq,400–600 cd/m²,1
Dupleks,Avtomatik,26
Uyğunluq,"FG/FWF 60E/61E, 60F/61F, 70/71F, 70 q/71 q, 80E/81E, 80/81F, 90/91 q, FDC-100 q",1
Disk tipi,Up to 12 LFF HDD and/or SSD per array model,1
Xüsusiyyətlər,"360° yüksək həssaslıqlı mikrofonlar, rəqəmsal səs təmizləmə, tənzimlənən səs səviyyəsi, konfrans zəngi idarəetməsi",1
Çəki,1.50 kq,1
Seriya,UGREEN Nexode,2
Prosessor,"Intel Core i5-14500 (14 nüvə / 20 axın, 2.6–5.0 GHz, 24 MB keş, 65 W)",2
USB-A çıxış,5 V/3A · 9 V/2A · 12 V/1.5A · 18 W maks,2
Model,Lenovo USB-C to Ethernet Adapter,1
Model,HP ProOne 240 G10,3
Tip,4-post teleskopik rack slide kit,1
Bağlantı,USB-C → HDMI 2.1,1
Simsiz,Wi-Fi 7 + Bluetooth,4
Volume,0.0266 m³,1
Part number,SDCS2/512GB,1
Məhsul tipi,IP Telefon,1
Akselerasiya,"SoC4 ASIC, desktop",3
Soyutma,fanless,2
Ölçü (H×D×W),44 × 230 × 330 mm,3
Batareya,"qulaqlıq + keys; USB-C şarj (~0.66 saat qulaqlıq, ~2 saat keys)",1
Giriş diapazonu,"160–275 V (əsas); 100–275 V (half load, adjustable)",1
Qida,"12 V / 3 A adapter, maks. 36 W",1
Hündürlük,60.7 mm,1
Part number,2E-KS280WBGR_AK,1
Tip,Ağıllı IK pult,2
Model,HPE ProLiant ML350 Gen10,1
Protective functions,waterproof material,1
Qida,"5 V 1A, 2 × USB-A–USB-C kabel daxil",1
Yaddaş,2048 MB,3
İşıq axını,750 lm-ə qədər (3 m),1
Ön qapı,"Təkqanadlı polad, 63% perforasiya, kilid",1
Yan panellər,"İkiyarımlı bütöv sac, çəngəl + silindr kilid",1
DPI,1000 dpi,4
Seriya,Apacer AH25B,3
Host,PCIe Gen3 x8,1
USB-C giriş,5 V/3A · 9 V/3A · 12 V/2.5A,1
PCIe,2 × PCIe Gen4 + 1 × PCIe Gen3,1
Maksimal istifadəçi sayı,512 müştəri (Tövsiyə olunan: 110 aktiv cihaz),1
Rəng (korpus),Qara,5
Ölçü,"148,8 × 91,4 × 8,6 sm",1
Həssaslıq,-6,1
Tip,100 q DAC (Direct Attach Copper) passiv kabel,2
Əlavə xüsusiyyətlər,"Dolby Audio/Atmos; SSD Opal şifrələmə; Korpus: WLAN models: PC + 20% CF (top), PC + 20% CF (bottom)",4
USB,Var,2
Rəng,ağ-boz,1
Duplex çap,"Avtomatik, 17 ipm",1
Prosessor,Intel Core Ultra 7 255H,1
Oxuma / yazma,14700 / 14000 MB/s,1
Seq. oxuma/yazma,100 / 80 MB/s-ə qədər (cihazdan asılı),2
Daxildir,Klaviatura + Mouse,5
EAN,0196786272547,1
İdarəetmə,Pinch / Sensor toxunma idarəetməsi (musiqi və zənglərin idarəsi),1
Rəng,black and gray,1
Equipment,microphone / cable with 3.5 mm jack x2 (TRS/TRRS) / wind protector nozzle / user's manual / microphone stabilizer-mounting aluminum,1
Part number,2E-HG340YW,1
Model,KG300 LED Black (2E-KG300UB),1
Zəmanət,Limited lifetime (HPE Instant On),24
Xüsusiyyətlər,"Rəngli ekran, Gigabit sürəti, zəng yönləndirmə, konfrans, XML xidmətləri",1
Part number,2E-MM011_OLD,1
Düymə növü,Yüksək cavab sürətinə malik membran düymələr (104 ədəd düymə),1
İş yükü,550 TB/il; 24/7; RV sensor; PowerChoice,3
Çəki,1.29 kq,1
İş temperaturu,0°C … 50°C,3
Çəki / ölçülər,Starting at 1.30 kq (2.87 lbs) | 312.80x217.65x15.49 mm,1
Model,GXP1625,1
Number of USB,2 pcs 2.0,2
Part number,2E-GC-BUS-ESGY,1
Model,HP Color LaserJet Pro MFP 3303fdn,1
Duty cycle,30 000 səh/ay; tövsiyə: 1 500,1
Dimensions (ShhVhT),46 x 31 x 6,1
Material,"Rezin, plastik",3
Part number,Q9H62A,1
Tip,Network receiver,1
Batareya,"VRLA, daxili 6 ədəd · Nominal 72 Vdc",1
Model,MU102,1
Portlar,"2 × DisplayPort 1.4, 1 × HDMI 2.1, USB 3.2 Gen 1 hub (1 up / 4 down, 1× BC1.2)",1
USB-C giriş,65 W maks (20 V/3.25A),1
Enerji mənbəyi,Cigar lighter,4
Buffer,1.5 MB,6
Bluetooth,5.0,1
Ekran,"16"", WUXGA 1920x1200, IPS, 400 nits, Anti-glare, 45% NTSC",2
Ölçü,"149,1 × 89,9 × 9,9 sm",1
Təyinat,HPE ProLiant Gen10 Plus / Gen11,1
Uyğunluq,PowerEdge R450 / R550 / R650xs / R750xs / T550,2
Seriya,Yandex ağıllı pult (iqlim sensorları ilə),1
Part number,B28F5UT,1
Part number,865438-B21,1
Part Number,B4QS4AA,1
Part number,A19KFEA,1
Model,"HP OmniStudio X AiO 32""",1
Minimum diagonal,"17 """,7
Seriya,Speak2 75,1
Runtime,100% yük 5.5 dəq; 50% yük 14.5 dəq,1
Çəki,"təxminən 3,1–3,65 kq",1
Çəki,225 q,1
Model,GRP2602 q,1
Model,GWN7806PL-PRO,1
Qrafika,Intel Iris Xe / Intel Graphics (inteqrə),1
Bağlantı,USB-A + HyperSpeed + Bluetooth,2
LAN,2 × RJ-45 10/100/1000,1
Bright,210 cd/m2,1
Batareya / adapter,4 hüceyrə 54 Wh Li-Po; 65 Vt USB-C/DC adapter (19.5 V / 3.34 A),1
Part number,TS-133,1
Konstruksiya,Qoruyucu rezin + cızıqdan qoruma + kabel yuvası,1
Part number,AP128GAH353C-1,1
Dərinlik,203.2 mm,1
Tip,FortiSwitch 148F-FPOE — Layer 2 Secure Access Full PoE+,1
Ölçü,8.3 × 133.3 × 44 mm,1
"Çap sürəti (qara, ISO)",24 səh/dəq,1
Part number,0231A0A8,1
Qidalanma,802.3af PoE və ya DC,1
Tip,Compact Hotel IP Phone (Wi-Fi / PSU variant),1
Təyinat,CTO şassiyə daxili disk dəstəyi üçün backplane,1
USB-C,"2 × (5/9/12/15/20 V, 3 A; 20 V / 3,25 A) — hər port",1
Part number,P06367-B21,1
Model,Lenovo ThinkVision S27i-30,2
Wi-Fi,"IEEE 802.11ax tri-band 2.4/5/6 GHz, 2×2+2×2+2×2 (3 radio)",1
İnterfeys,"USB 20Gbps (USB 3.2 Gen 2x2), USB Type-C",2
Operativ yaddaş,8GB LPDDR5,1
Rəng,Dark Ash Silver,2
Çəki,230–250 q,1
Ekran,"2.01"" TFT status displeyi",1
Baxış bucağı,178° / 178°,9
Model,QSFP-100 q-D-CAB-1 m,1
Bağlantı,2.4 GHz USB qəbuledici,1
Part number,FN-CABLE-SFP-3,1
Part number,JL683B,1
EAN,0197192348024,1
Part number,2E-SP515OSM3WH,1
Ekran,"14"" WUXGA (1920×1200) sensorlu, anti-glare 400 nit",1
Model,GBX20,1
Ekran,"2.29"" toxunma ekran (480×800)",1
Part number,2E-MF270WWH,1
Model,Lenovo ThinkPad X9-14 Gen 1,1
Model,HP S5 524da FHD,1
Qeyd,4TB/5TB yalnız qara; smart power (10 dəq sonra yuxu rejimi),1
Portlar,"2× HDMI, DP, Audio Out",1
Model,DTSPB321XL-CD20,1
Speed class,U3 / C10 / V30 / A2,1
Part number,2E-BSSLMWBN,1
Part Number,AJ0T1AA,1
Nümunə,24 bit / 96 kHz,3
Model,X688,1
Part number,P51181-B21,1
Portlar,16 × GE RJ45 switch + 1 × MGMT + 1 × HA + 8 × GE SFP + 4 × 10GE SFP+ + USB + konsol,2
Portlar,48 × RJ-45 10/100/1000 PoE+,3
Backlight color,white / natural / yellow,2
LAN,"2 × 10/100/1000 RJ45 (PoE diversity), 1 × USB 2.0 Type-A, 1 × RS-232 RJ45 konsol",1
Part number,KF588CU42RSAK2-48,1
HD tipi,4K Ultra HD,1
Ölçülər,27 × 240 × 105 mm,1
Simsiz Sürət,"5 GHz üzrə 2402 Mbps, 2.4 GHz üzrə 574 Mbps (ümumi 2976 Mbps)",1
Model,Lenovo ThinkCentre neo 50a 27 Gen 6,2
Scroll,HyperScroll Tilt Wheel,2
Giriş,"IEC C20, 230 V (110–290 V, 100% yükdə 180–290 V)",1
Part number,RZ19-05060200-R3M1,1
Əlavə xüsusiyyətlər,Lenovo USB-C Dual Display Travel Dock with 100 W Adapter_EU,1
Təyinat,for laptop / desktop computer,32
Saxlama,2 × 480 GB SATA RI SFF BC SSD (cəm 960 GB); 4 × SFF yuva,1
Tip,"Enterprise Layer 3 stackable access, AOS-CX + NAE (HPE Aruba CX 6200F)",2
Material,Metal,2
Part number,S1T23A,1
USB versiya,Thunderbolt 3,1
Qoşulma,Bluetooth 5.1 (10 metr stabil ötürmə məsafəsi),1
Rəng,Vibrant blue (mavi),2
Format,Compact,1
Rəng,black incə teksturalı / white mat / gray mat,1
Batareya,1050 mAh × 2; ~90 dəq 1080p / ~60 dəq 4K (hər batareya). Dəstdə 2 batareya + şarj qutusu,1
Ölçülər,602 × 635 × 287 mm,1
USB-C,1 × 100 W Max.,2
Çəki,190 q (AC kabelsiz),1
Part number,4ZB97A,1
Aylıq yük,10000 səh/ay,1
EAN,0196188736906,1
Panel,IPS,29
Ölçülər (stend ilə),611.6 × 190.1 × 535.2 mm,1
Model,LS106P (LiteWave 6-Port Desktop Switch with 4-Port PoE+),1
OS,Aruba Instant / AOS 8 Unified,1
Platforma RAM,"16 × DDR4 RDIMM ECC, maks. 1 TB, 3200 MT/s",1
İlk səhifə (qara),16 san,1
Xüsusiyyət,"padded handles / with USB interface / all carbines, hinges and zippers are metal.",1
Part number,72C71AA,1
İş temperaturu,-10…+50 °C,1
Model,EC305,1
Ölçü (E×D×H),440 × 410 × 44 mm,1
Maks. sürət,~1.77 Gbps (1.2 Gbps 5 GHz + 574 Mbps 2.4 GHz),1
Konnektorlar,USB-C → USB-A,1
Cable type,H05VV-F,1
Panel,"IPS Black, əyri 1900R",1
PCIe,"PCIe Gen3 x4, low-profile (full-height dəstdə)",1
PoE,"IEEE 802.3af/at, port başına max 30 W, ümumi büdcə 60 W",1
PoE,"185 W, IEEE 802.3af/at, port 1–12",1
Model,Tapo C210 (Pan/Tilt Home Security Wi-Fi Camera),1
Part number,V0L81AA,1
Uyğunluq,"PC, Xbox Series X|S, Xbox One, PS5, PS4; Software Compatibility: NGENUITY",2
Part number,210-BBRU-E-2314,1
Effective Output Power,900 W,1
Qeyd,Model dayandırılıb; spec rəsmi AH750 datasheet-dəndir,1
Teletext,✔️ 1 000 səh.,2
Model,Tapo C230 (Pan/Tilt AI Home Security Wi-Fi Camera),1
Xarici batareya,GXT5-EBC192VRT3U (avto-deteksiya),3
Eyni anda cihaz,3,10
Model,SRV3KRILRK-E,1
Giriş/çıxış gərginliyi,230 V (220/240 V),2
Fiş,IEC 60309 sənaye fişi,6
Part Number,70N24AA,1
Vertical Viewing Angle,178 °,6
Part number,RZ01-04130100-R3G1,1
Radio / sürət,4×4:4 MU-MIMO — 800 Mbps (2.4 GHz) + 1 800 Mbps (5 GHz),1
Ekran,480×272 TFT color LCD,3
Range of action,up to 30 m,2
Forma,Rectangle,3
TDP,235 W,1
Əlavə xüsusiyyətlər,"İşıqlı klaviatura; 8MP kamera + IR; Intel vPro; SSD Opal şifrələmə; Korpus: Aluminium (top), aluminium (bottom)",1
Spikerfon,Tam dupleks (Full-duplex) əks-səda ləğvi ilə,1
Maks. güc,30 W,4
Tip,mecha-membrane oyun klaviaturası,2
PS5,Uyğundur (PS5 maks. 11.25 mm; oxuma tələbi 5500 MB/s-dən yüksək),1
Növ,DDR4 SDRAM,13
Korpus,Standard PCIe plug-in controller,3
Model,CD244,2
Sürətlənmə,50 q,11
OS,Windows / macOS / Linux,28
Bağlantı,USB-A + HyperSpeed 2.4 GHz + Bluetooth,6
Part number,63DEKAT3EU,1
The common frequency band,90 - 20000 Hz,1
Model,Lenovo ThinkPad Bluetooth Silent Mouse,1
Harmonik təhrif,<2%,2
Səmərəlilik,> 96% (AC-AC) · ECO: 99%,2
Part number,210-AZDS-1020219476,1
Tip,IntelliSlot şəbəkə kommunikasiya kartı (növbəti nəsil),1
Ölçü (E×D×H),77.4 × 174.2 × 43 mm,1
Məlumat ötürmə,6 Gbit/s,5
Kənarsız çap,Bəli (A4-ə qədər),1
Tip,Indoor Dual-Band Wi-Fi 7 Access Point,1
PoE Büdcəsi,Ümumi 65 W (hər bir PoE porta 30 W-a qədər güc),1
Overclock,XMP 3.0 Və AMD EXPO (seriya; bu SKU 5600 CL46 1.1 V),2
Form faktor,"Tower, 180.2 × 329.3 × 279.6 mm",1
Rəng,Natural Silver,4
Batareya,"VRLA, hot-swap",1
Part number,2E-MF220WW,1
Part Number,639N3AA,1
Seriya,Razer DeathAdder V4 Pro,2
Ekran,3.0 düym yüksək keyfiyyətli IPS rəngli ekran,1
Tip,Expansion Module,2
Çəki,47 q,4
Çəki / ölçülər,Starting at 1.40 kq (3.08 lbs),1
Volume,0.0030 m³,1
Model,1513-0154,1
Seriya,Kingston Canvas Go! Plus Gen3,3
Horizontal viewing angle,178 °,6
PoE,"180 W, IEEE 802.3af/at, 12 port",1
Polling,4000 Hz,1
Sürücü,"53 mm angled dynamic, neodim",2
Çəki,"7,5 kq",3
Port,1 × 10GBASE-T RJ45 (10 q/5 q/2.5 q/1 q/100 m),1
Baza,4× M10×45 tənzimlənən ayaq + 4 yüksək yüklü təkər,1
Qida bloku (bu konfiq),Dual 1100 W Titanium,1
Xüsusi rejimlər,"Isolation Mode (bir toxunuşla portların təhlükəsiz ayrılması), PoE Auto Recovery (donmuş IP kameraların avtomatik bərpası), Fansız tam səssiz iş rejimi (Fanless), Plug and Play",1
Mikrofon,Qulaqici MEMS (boom deyil),1
Dalğa forması,Stepped approximation to a sinewave,5
